00:34:26.676 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - **********************************
00:34:26.679 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Satellite Multi Simulation 0.2.0-SNAPSHOT
00:34:26.679 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - **********************************
00:34:26.679 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - ----------------------------
00:34:26.680 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Configuring multi simulation (headless:1)... number of simulations: 150
00:34:26.681 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - ----------------------------
00:34:26.681 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Computing initial conditions for 150 number of simulations and approach 1 (0 - NORNAL, 1 - UNIFORM, 2 - STATE SPACE EXPLORATION)...
00:34:26.683 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Loading configuration...
00:34:26.683 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Reading "simulationcontroller.properties"...
00:34:26.684 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Reading "amazonia1.properties"...
00:34:26.684 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Configuration loaded.
00:34:26.688 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Configuring simulation...
00:34:26.755 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Orbit: keplerian parameters: {a: 7130092.0; e: 0.001111; i: 98.405; pa: 98.405; raan: 227.088; v: 304.8956296758786;}
00:34:26.755 [main] INFO br.inpe.cmc202.simulation.SimulationController  - MeanMotion: 0.001048639438789967 radians/s
00:34:26.755 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Period: 5991.749952137793 s
00:34:26.756 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Simulation Time: 3600.0 s (60.08261407363232 % of the orbit period)
00:34:26.757 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Start Time: 2017-06-01T00:00:00.000 
00:34:26.757 [main] INFO br.inpe.cmc202.simulation.SimulationController  - End Time: 2017-06-01T01:00:00.000 
00:34:26.757 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Fixed simulation step: 0.05 s
00:34:26.759 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Satellite Configuration: Satellite [
 setOfMagnetorquer=null,
 setOfReactionWheels=br.inpe.cmc202.satellite.actuators.SetOfReactionWheels@3e2e18f2,
 controller=br.inpe.cmc202.satellite.controllers.NopeController@470f1802,
 setOfMagnetorquerController=null,
 angularVelocityReference_body={0; 0; 0},
 sunReference_body={1; 0; 0},
 externalTorquesMagnitude=0.0,
 alpha1=0.0,
 modeUsingAttitude=true,
 reactionWheelControllerName=NopeController
, reactionWheelHardNonlinearities=false]
00:34:26.760 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Initial Attitude - Euler Angles: X 0.0 Y -0.0 Z 0.0 
00:34:26.760 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Initial Attitude - Quaternions: Q1 0.0 Q2 0.0 Q3 0.0 Q4 1.0 
00:34:26.760 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Initial Attitude - Velocity (rad/s): X 0.0 Y 0.0 Z 0.0
00:34:26.760 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Initial Attitude - Acceleration (rad/s^2): X 0.0 Y 0.0 Z 0.0
00:34:26.760 [main] INFO br.inpe.cmc202.simulation.SimulationController  - Simulation configured.
00:34:26.761 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Maximum Angular Velocity Controllable by reaction wheels: {0.0385425383; 0.0332581154; 0.0225745447}. For simulation: 0.03854253829546482!
00:34:26.761 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - UNIFORM - Euler Angles X: U(-180.0,180.0) Y: U(-90.0,90.0) Z: U(-180.0,180.0)
00:34:26.761 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - UNIFORM - Angular Velocities X: U(-0.03854253829546482,0.03854253829546482) Y: U(-0.03854253829546482,0.03854253829546482) Z: U(-0.03854253829546482,0.03854253829546482)
00:34:26.762 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - MAX NORM: Euler Angles: 270.0 Angular Velocities: 0.06675763458041423
00:34:27.139 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -    1 - Euler Angles (X,Y,Z): +105.955 -56.533 +110.011 NORM: +162.864 	- Angular Velocity (X,Y,Z): -0.031 +0.002 -0.028 NORM: +0.041
00:34:27.139 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -    2 - Euler Angles (X,Y,Z): +165.257 +71.701 -44.855 NORM: +185.642 	- Angular Velocity (X,Y,Z): +0.028 -0.005 +0.016 NORM: +0.033
00:34:27.140 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -    3 - Euler Angles (X,Y,Z): +175.708 +22.729 +112.764 NORM: +210.014 	- Angular Velocity (X,Y,Z): +0.010 -0.002 +0.034 NORM: +0.036
00:34:27.141 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -    4 - Euler Angles (X,Y,Z): +75.739 +27.586 +2.257 NORM: +80.638 	- Angular Velocity (X,Y,Z): +0.017 -0.036 -0.038 NORM: +0.055
00:34:27.141 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -    5 - Euler Angles (X,Y,Z): -134.006 +89.250 -87.595 NORM: +183.292 	- Angular Velocity (X,Y,Z): +0.033 -0.017 -0.033 NORM: +0.050
00:34:27.141 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -    6 - Euler Angles (X,Y,Z): -139.501 +84.423 -1.628 NORM: +163.066 	- Angular Velocity (X,Y,Z): +0.017 +0.005 -0.014 NORM: +0.023
00:34:27.142 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -    7 - Euler Angles (X,Y,Z): +89.973 -41.891 -15.165 NORM: +100.399 	- Angular Velocity (X,Y,Z): -0.030 +0.036 +0.014 NORM: +0.049
00:34:27.142 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -    8 - Euler Angles (X,Y,Z): +85.734 +40.572 +113.693 NORM: +148.062 	- Angular Velocity (X,Y,Z): +0.003 -0.033 +0.023 NORM: +0.040
00:34:27.143 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -    9 - Euler Angles (X,Y,Z): +71.949 +51.337 +83.135 NORM: +121.341 	- Angular Velocity (X,Y,Z): -0.010 -0.024 +0.018 NORM: +0.032
00:34:27.143 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -   10 - Euler Angles (X,Y,Z): +77.144 +61.475 +15.839 NORM: +99.906 	- Angular Velocity (X,Y,Z): -0.011 -0.002 -0.001 NORM: +0.011
00:34:27.143 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -   11 - Euler Angles (X,Y,Z): +161.035 +32.849 +28.083 NORM: +166.734 	- Angular Velocity (X,Y,Z): +0.021 -0.018 +0.003 NORM: +0.028
00:34:27.144 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -   12 - Euler Angles (X,Y,Z): +61.765 -14.525 +63.929 NORM: +90.072 	- Angular Velocity (X,Y,Z): -0.005 -0.011 -0.036 NORM: +0.038
00:34:27.144 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -   13 - Euler Angles (X,Y,Z): -99.454 +14.859 +150.684 NORM: +181.156 	- Angular Velocity (X,Y,Z): +0.003 +0.002 -0.003 NORM: +0.005
00:34:27.144 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -   14 - Euler Angles (X,Y,Z): -99.746 +8.295 -41.445 NORM: +108.332 	- Angular Velocity (X,Y,Z): +0.014 +0.016 -0.013 NORM: +0.025
00:34:27.145 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -   15 - Euler Angles (X,Y,Z): -21.347 -71.154 -164.857 NORM: +180.821 	- Angular Velocity (X,Y,Z): +0.014 +0.029 -0.012 NORM: +0.035
00:34:27.145 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -   16 - Euler Angles (X,Y,Z): -8.230 -14.895 -61.340 NORM: +63.657 	- Angular Velocity (X,Y,Z): -0.034 +0.014 -0.006 NORM: +0.037
00:34:27.145 [main] INFO br.inpe.cmc202.simulation.MultiSimulationController  - Monte Carlo iteration -   17 - Euler Angles (X,Y,Z): +64.948 +27.687 +66.781 NORM: +97.183 	- Angular Velocity (X,Y,Z): -0.033 -0.020 +0.018 NORM: +0.042
